Dim1	Dim2	Dataset		
V8	-7.17468672	-5.584842507	atac	GM_human
V10	7.356953809	-9.229763809	atac	GM_human
V13	-7.219054034	-5.52369434	atac	GM_human
V37	-7.042184164	-5.80318195	atac	GM_human
V38	-7.224867632	-5.518009487	atac	GM_human
V40	-7.242996981	-5.506826702	atac	GM_human
V41	-3.683898022	-19.87379629	atac	GM_human
V42	-12.83829909	20.31815737	atac	GM_human
V43	-0.088152041	-6.142292324	atac	GM_human
V44	12.99341268	13.79640215	atac	GM_human
V49	-7.248888304	-5.49447662	atac	GM_human
V57	-7.184076598	-5.570731465	atac	GM_human
V59	-4.14472275	1.829919752	atac	GM_human
V61	12.99981947	13.79216021	atac	GM_human
V68	13.02156133	13.77597731	atac	GM_human
V71	12.99941892	13.78621405	atac	GM_human
V72	17.75946588	-0.823318086	atac	GM_human
V73	-7.061938574	-5.782147232	atac	GM_human
V79	-7.144684603	-5.605893914	atac	GM_human
V82	6.144896219	16.59862345	atac	GM_human
V84	-7.24914675	-5.492844883	atac	GM_human
V94	-7.237364104	-5.497196976	atac	GM_human
X0.1	8.91784353	-13.72805292	rna	Stromal cell_Ccl11 high(Uterus)
X1	-13.86622172	19.97883814	rna	Stromal cell_Ccl11 high(Uterus)
X2	1.328270624	14.2203781	rna	Stromal cell_Ccl11 high(Uterus)
X3	-14.25831061	19.67738932	rna	Stromal cell_Ccl11 high(Uterus)
X4	8.542565057	-13.80681211	rna	Stromal cell_Ccl11 high(Uterus)
X5	8.462511728	-12.82270891	rna	Stromal cell_Ccl11 high(Uterus)
X6	8.87802572	-15.3412903	rna	Stromal cell_Ccl11 high(Uterus)
X7	12.2042777	13.78219431	rna	Stromal cell_Ccl11 high(Uterus)
X8	9.003102014	9.758527931	rna	Stromal cell_Ccl11 high(Uterus)
X9	-14.2808507	19.70710581	rna	Stromal cell_Ccl11 high(Uterus)
X10	-0.074803641	15.26200884	rna	Stromal cell_Ccl11 high(Uterus)
X11	3.804516027	14.03609198	rna	Stromal cell_Ccl11 high(Uterus)
X12	-0.160089245	15.41927737	rna	Stromal cell_Ccl11 high(Uterus)
X13	1.817264745	14.17138785	rna	Stromal cell_Ccl11 high(Uterus)
X14	-13.67369585	19.51245135	rna	Stromal cell_Ccl11 high(Uterus)
X15	-2.026454975	19.25025767	rna	Stromal cell_Ccl11 high(Uterus)
X16	0.127448896	18.97409266	rna	Stromal cell_Ccl11 high(Uterus)
X17	8.165346811	-10.84580499	rna	Stromal cell_Ccl11 high(Uterus)
X18	8.605664919	-14.24617082	rna	Stromal cell_Ccl11 high(Uterus)
X19	-13.78139143	20.12537783	rna	Stromal cell_Ccl11 high(Uterus)
X20	8.082344721	-12.41410238	rna	Stromal cell_Ccl11 high(Uterus)
X21	6.286508272	17.03614634	rna	Stromal cell_Ccl11 high(Uterus)
X22	-14.28462343	19.72427576	rna	Stromal cell_Ccl11 high(Uterus)
X23	-1.755579998	19.41374033	rna	Stromal cell_Ccl11 high(Uterus)
X24	7.89718456	8.660301384	rna	Stromal cell_Ccl11 high(Uterus)
X25	7.261704157	8.32232016	rna	Stromal cell_Ccl11 high(Uterus)
X26	-1.367878845	-6.697602574	rna	Stromal cell_Ccl11 high(Uterus)
X27	-13.9231122	20.09804743	rna	Stromal cell_Ccl11 high(Uterus)
X28	-0.028169637	15.15910929	rna	Stromal cell_Ccl11 high(Uterus)
X29	6.874781797	-9.262968842	rna	Stromal cell_Ccl11 high(Uterus)
X30	-0.23215582	15.44328135	rna	Stromal cell_Ccl11 high(Uterus)
X31	-5.933064749	-6.813436333	rna	Stromal cell_Ccl11 high(Uterus)
X32	3.122157047	14.02229327	rna	Stromal cell_Ccl11 high(Uterus)
X33	-13.78855448	20.01035136	rna	Stromal cell_Ccl11 high(Uterus)
X34	-13.98090773	19.77133196	rna	Stromal cell_Ccl11 high(Uterus)
X35	4.737756441	14.45469874	rna	Stromal cell_Ccl11 high(Uterus)
X36	12.08942003	13.32173651	rna	Stromal cell_Ccl11 high(Uterus)
X37	-13.8825181	19.9582712	rna	Stromal cell_Ccl11 high(Uterus)
X38	7.987187097	-13.35988313	rna	Stromal cell_Ccl11 high(Uterus)
X39	-0.334599247	16.00825518	rna	Stromal cell_Ccl11 high(Uterus)
X40	-14.1615346	19.93515795	rna	Stromal cell_Ccl11 high(Uterus)
X41	0.040011758	15.09713763	rna	Stromal cell_Ccl11 high(Uterus)
X42	-0.355541398	16.01355761	rna	Stromal cell_Ccl11 high(Uterus)
X43	4.097399662	14.03592795	rna	Stromal cell_Ccl11 high(Uterus)
X44	-14.40779524	19.72129267	rna	Stromal cell_Ccl11 high(Uterus)
X45	0.66476954	14.50021475	rna	Stromal cell_Ccl11 high(Uterus)
X46	11.616121	12.17124956	rna	Stromal cell_Ccl11 high(Uterus)
X47	0.886767993	14.24208086	rna	Stromal cell_Ccl11 high(Uterus)
X48	8.253694246	-11.76169759	rna	Stromal cell_Ccl11 high(Uterus)
X49	5.888551901	15.86486643	rna	Stromal cell_Ccl11 high(Uterus)
X0.2	8.752396295	-13.72713834	rna	Endothelial cell_Tm4sf1 high(Uterus)
X1.1	2.779779623	-6.45077974	rna	Endothelial cell_Tm4sf1 high(Uterus)
X2.1	8.103071401	-11.00228864	rna	Endothelial cell_Tm4sf1 high(Uterus)
X3.1	2.516101787	-6.463606659	rna	Endothelial cell_Tm4sf1 high(Uterus)
X4.1	8.145059774	-12.28622896	rna	Endothelial cell_Tm4sf1 high(Uterus)
X5.1	7.961869428	-10.91728098	rna	Endothelial cell_Tm4sf1 high(Uterus)
X6.1	6.969020078	-8.634974304	rna	Endothelial cell_Tm4sf1 high(Uterus)
X7.1	6.506292532	17.12900942	rna	Endothelial cell_Tm4sf1 high(Uterus)
X8.1	-4.521128943	-6.761619869	rna	Endothelial cell_Tm4sf1 high(Uterus)
X9.1	-5.646571448	-7.245630566	rna	Endothelial cell_Tm4sf1 high(Uterus)
X10.1	-0.764751067	-6.590356652	rna	Endothelial cell_Tm4sf1 high(Uterus)
X11.1	1.457819531	-6.478230778	rna	Endothelial cell_Tm4sf1 high(Uterus)
X12.1	4.519749353	14.00083559	rna	Endothelial cell_Tm4sf1 high(Uterus)
X13.1	12.38488264	14.18698614	rna	Endothelial cell_Tm4sf1 high(Uterus)
X14.1	2.12470896	-6.635236088	rna	Endothelial cell_Tm4sf1 high(Uterus)
X15.1	11.80384416	12.54573172	rna	Endothelial cell_Tm4sf1 high(Uterus)
X16.1	6.258083532	-8.817645851	rna	Endothelial cell_Tm4sf1 high(Uterus)
X17.1	8.234363268	-11.40315611	rna	Endothelial cell_Tm4sf1 high(Uterus)
X18.1	2.098284195	13.86043757	rna	Endothelial cell_Tm4sf1 high(Uterus)
X19.1	0.308561186	-6.318652931	rna	Endothelial cell_Tm4sf1 high(Uterus)
X20.1	7.974970052	-10.82303888	rna	Endothelial cell_Tm4sf1 high(Uterus)
X21.1	8.298474023	-13.41555769	rna	Endothelial cell_Tm4sf1 high(Uterus)
X22.1	-2.783005049	18.72559946	rna	Endothelial cell_Tm4sf1 high(Uterus)
X23.1	-5.47894602	-6.383642498	rna	Endothelial cell_Tm4sf1 high(Uterus)
X24.1	-0.309653213	-6.286680523	rna	Endothelial cell_Tm4sf1 high(Uterus)
X25.1	2.520810793	-6.437089268	rna	Endothelial cell_Tm4sf1 high(Uterus)
X26.1	2.901083658	-6.598198715	rna	Endothelial cell_Tm4sf1 high(Uterus)
X27.1	8.351495454	-11.80734235	rna	Endothelial cell_Tm4sf1 high(Uterus)
X28.1	-0.279799273	-6.589337651	rna	Endothelial cell_Tm4sf1 high(Uterus)
X29.1	6.125874231	-8.598151509	rna	Endothelial cell_Tm4sf1 high(Uterus)
X30.1	2.144362877	-6.541321579	rna	Endothelial cell_Tm4sf1 high(Uterus)
X31.1	-0.016902333	-6.647934738	rna	Endothelial cell_Tm4sf1 high(Uterus)
