a,TSNE_1,TSNE_2,X,      ,,,,,,,
1,V569,4.127004196,1.300956112,Endothelial_mouse     ,,,,,,,
2,V17,3.695674231,1.960850556,Macrophage_mouse     ,,,,,,,
3,V1130,3.262902504,2.151181645,Endothelial_mouse     ,,,,,,,
4,V1397,3.68933762,2.356738115,Endothelial_mouse     ,,,,,,,
5,V1640,3.716248334,2.292137326,Endothelial_mouse     ,,,,,,,
6,V1925,3.464437694,2.481470535,Endothelial_mouse     ,,,,,,,
7,V2039,3.819549017,1.745839874,Endothelial_mouse     ,,,,,,,
8,V2278,3.050621791,2.778453953,Endothelial_mouse     ,,,,,,,
9,V2553,4.166559183,1.650361622,Endothelial_mouse     ,,,,,,,
10,V3396,4.031476084,2.280993667,Endothelial_mouse     ,,,,,,,
11,V3591,4.422302894,1.539920819,Endothelial_mouse     ,,,,,,,
12,V3979,2.686651948,0.875950173,Endothelial_mouse     ,,,,,,,
13,V4338,4.755596353,2.48675954,Endothelial_mouse     ,,,,,,,
14,V4341,4.467209272,1.239066519,Endothelial_mouse     ,,,,,,,
15,V4409,3.441774269,2.310189239,Endothelial_mouse     ,,,,,,,
16,V5318,3.218587759,2.270497812,Endothelial_mouse     ,,,,,,,
17,V15,4.943214694,2.873359156,Endothelial_mouse     ,,,,,,,
18,V22,4.063888685,2.596774641,Macrophage_mouse     ,,,,,,,
19,V1585,4.032673712,2.581001883,Endothelial_mouse     ,,,,,,,
20,V1623,3.418750526,3.122685113,Endothelial_mouse     ,,,,,,,
21,V2530,3.833286696,2.741327791,Endothelial_mouse     ,,,,,,,
22,V3121,3.922770943,2.842212788,Endothelial_mouse     ,,,,,,,
23,V3449,3.930880413,2.584496504,Endothelial_mouse     ,,,,,,,
24,V3548,4.335194462,2.699133877,Endothelial_mouse     ,,,,,,,
25,V3859,3.490406131,3.35525104,Endothelial_mouse     ,,,,,,,
26,V4263,4.129188064,2.18369492,Endothelial_mouse     ,,,,,,,
27,V5133,4.367935723,2.306040825,Endothelial_mouse     ,,,,,,,
28,V5221,4.062691339,2.153590851,Endothelial_mouse     ,,,,,,,
29,V5835,4.492135586,1.403535533,Endothelial_mouse     ,,,,,,,
30,V1127,2.607617417,2.461400781,Endothelial_mouse     ,,,,,,,
31,V87,3.382544405,2.518881493,Macrophage_mouse     ,,,,,,,
