Dim1	Dim2	Dataset		
V12	5.364902992	-17.75423063	atac	H1ESC
V13	-23.9020829	2.595820054	atac	H1ESC
V16	-4.928120594	-20.27355017	atac	H1ESC
V17	5.36491682	-17.53518118	atac	H1ESC
V18	4.738947887	-14.63998236	atac	H1ESC
V22	5.218030472	-17.63236059	atac	H1ESC
V23	0.713173766	23.19377695	atac	H1ESC
V28	5.113024254	-17.60694136	atac	H1ESC
V30	5.237327118	-17.64241041	atac	H1ESC
V31	5.16399147	-17.57059874	atac	H1ESC
V32	5.171403904	-17.57987799	atac	H1ESC
V39	5.063936252	-17.47971739	atac	H1ESC
V40	-4.801993113	-20.1255609	atac	H1ESC
V41	-23.95952461	2.653088673	atac	H1ESC
V45	9.381808777	-3.80575432	atac	H1ESC
V48	-23.88732956	2.580695017	atac	H1ESC
V49	-4.941644173	-20.42510428	atac	H1ESC
V53	-4.64870451	-20.06203283	atac	H1ESC
V60	5.147923488	-17.55543722	atac	H1ESC
V63	-4.946765642	-20.44943823	atac	H1ESC
V64	5.105762977	-17.50553717	atac	H1ESC
V68	-23.87450073	2.567878827	atac	H1ESC
V71	5.235549946	-17.60567297	atac	H1ESC
V72	-23.86841629	2.562238439	atac	H1ESC
V79	5.399039764	-17.81042685	atac	H1ESC
V80	-4.738556128	-20.1454965	atac	H1ESC
V84	7.512948532	-20.59053816	atac	H1ESC
V87	-4.895778876	-20.07882895	atac	H1ESC
X0.1	-0.175679307	0.158830627	rna	Stromal cell_Ccl11 high(Uterus)
X1	7.431576271	-21.14995398	rna	Stromal cell_Ccl11 high(Uterus)
X2	3.918220062	-2.41353573	rna	Stromal cell_Ccl11 high(Uterus)
X3	5.994491596	-18.41014303	rna	Stromal cell_Ccl11 high(Uterus)
X4	-1.057369943	-0.527148024	rna	Stromal cell_Ccl11 high(Uterus)
X5	-1.198531311	-0.507186429	rna	Stromal cell_Ccl11 high(Uterus)
X6	1.553321142	-0.988016979	rna	Stromal cell_Ccl11 high(Uterus)
X7	9.595951576	-3.930325166	rna	Stromal cell_Ccl11 high(Uterus)
X8	8.528641243	-4.027008192	rna	Stromal cell_Ccl11 high(Uterus)
X9	5.850570698	-18.27349104	rna	Stromal cell_Ccl11 high(Uterus)
X10	6.063530941	-3.473922864	rna	Stromal cell_Ccl11 high(Uterus)
X11	1.996810932	-0.763406173	rna	Stromal cell_Ccl11 high(Uterus)
X12	11.77775719	23.06382929	rna	Stromal cell_Ccl11 high(Uterus)
X13	5.277977962	-3.258622781	rna	Stromal cell_Ccl11 high(Uterus)
X14	7.367115517	-19.85925879	rna	Stromal cell_Ccl11 high(Uterus)
X15	6.827091236	-3.813015119	rna	Stromal cell_Ccl11 high(Uterus)
X16	4.737711925	-3.088597433	rna	Stromal cell_Ccl11 high(Uterus)
X17	1.434707661	-0.361505286	rna	Stromal cell_Ccl11 high(Uterus)
X18	2.67122652	0.031671389	rna	Stromal cell_Ccl11 high(Uterus)
X19	7.58155777	-21.01842131	rna	Stromal cell_Ccl11 high(Uterus)
X20	1.935230989	-0.852436916	rna	Stromal cell_Ccl11 high(Uterus)
X21	2.199423094	-1.350828544	rna	Stromal cell_Ccl11 high(Uterus)
X22	5.710495014	-18.12240423	rna	Stromal cell_Ccl11 high(Uterus)
X23	16.72514107	-5.186851636	rna	Stromal cell_Ccl11 high(Uterus)
X24	8.515131492	-4.067199365	rna	Stromal cell_Ccl11 high(Uterus)
X25	11.30622532	23.62169062	rna	Stromal cell_Ccl11 high(Uterus)
X26	-1.717254441	0.587446793	rna	Stromal cell_Ccl11 high(Uterus)
X27	7.302948494	-20.67606939	rna	Stromal cell_Ccl11 high(Uterus)
X28	2.486968059	-1.618888275	rna	Stromal cell_Ccl11 high(Uterus)
X29	-2.796926241	-1.236326829	rna	Stromal cell_Ccl11 high(Uterus)
X30	2.135248442	-0.590689198	rna	Stromal cell_Ccl11 high(Uterus)
X31	-5.026751499	0.525148912	rna	Stromal cell_Ccl11 high(Uterus)
X32	11.56888725	23.36768709	rna	Stromal cell_Ccl11 high(Uterus)
X33	7.417943497	-21.14495863	rna	Stromal cell_Ccl11 high(Uterus)
