a,TSNE_1,TSNE_2,X
X0.85,2.30200607490879,7.79016650044976,Cartilage cell_Clu high(Neonatal-Rib)
X15,2.35896537699825,7.68790853163638,Stromal cell_Ccl11 high(Uterus)
X0.56,1.97753182356589,7.64523640259607,Monocyte_Elane high(Peripheral_Blood)
X23,2.14746429074345,7.67216680936825,Stromal cell_Ccl11 high(Uterus)
X25,2.36060912191857,7.73248352710447,Stromal cell_Ccl11 high(Uterus)
X0.74,1.79456855777746,6.66250768442444,Osteoblast_Ppic high(Neonatal-Skin)
X36,1.83933971155152,6.6280900601008,Stromal cell_Ccl11 high(Uterus)
X42,1.83337003501673,6.62693130818464,Stromal cell_Ccl11 high(Uterus)
X4.2,1.83033520698147,6.60198837723769,Stromal cell_Hsd11b2 high(Uterus)
X7.3,2.33874824262059,7.68887283229103,Stromal cell_Has1 high(Uterus)
X10.3,2.37077761044526,7.70758796742296,Stromal cell_Has1 high(Uterus)
X18.3,2.0463989144253,7.56320839407506,Stromal cell_Has1 high(Uterus)
X19.3,2.07945580899032,7.56709411342435,Stromal cell_Has1 high(Uterus)
X21.3,2.01178362912156,7.57633812134865,Stromal cell_Has1 high(Uterus)
X28.3,2.34914971984599,7.64524840432692,Stromal cell_Has1 high(Uterus)
X0.58,-0.968904428392924,-6.89498665592289, cell(Pancreas)
X3.4,-1.07961348898873,-6.96736469561849,Glandular epithelium_Sprr2f high(Uterus)
X35.4,-1.05469023652385,-6.97118318681335,Glandular epithelium_Sprr2f high(Uterus)
X42.4,-1.01642344881601,-6.94203603851927,Glandular epithelium_Sprr2f high(Uterus)
X22.5,-0.991031632083536,-6.79018621292631,Macrophage(Uterus)
X0.14,0.681023655483813,4.30885621865076,Proliferating thymocyte(Thymus)
X7.12,0.713563919063896,4.28856652619501,B cell(Thymus)
X22.14,-0.527927073868878,-8.03082820787881,T cell_Ms4a4b high(Thymus)
X0.16,-8.68455932794113,-11.8977302426723,DPT cell(Thymus)
X15.31,-8.65685301422527,-11.8242181931903,Parietal cell (Stomach)
X16.31,-8.66047213961366,-11.8280793667215,Parietal cell (Stomach)
X25.31,-8.66751631454805,-11.8058212716728,Parietal cell (Stomach)
X0.93,-3.87302251539056,5.38861571240735,Stromal cell_Col3a1 high(Neonatal-Heart)
X15.34,-3.80259371025303,5.5365056005767,Epithelium of small intestinal villi_Fabp1 high(Small-Intestine)
X28.34,-3.80329263985157,5.52302640385725,Epithelium of small intestinal villi_Fabp1 high(Small-Intestine)
X37.34,-3.92923365130644,5.29510121597619,Epithelium of small intestinal villi_Fabp1 high(Small-Intestine)
X0.82,-4.59654143748603,5.51814737779854,Neutrophil(Neonatal-Rib)
X3.38,-4.51270087924288,5.39057385079796,Columnar epithelium(Small-Intestine)
X19.38,-3.83169103942452,5.30368617172926,Columnar epithelium(Small-Intestine)
X29.38,-3.850986158391,5.32602032621864,Columnar epithelium(Small-Intestine)
X40.38,-3.85097148290375,5.2775223058439,Columnar epithelium(Small-Intestine)
X10.39,-3.9542178428255,5.18901390613738,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
X13.39,-4.44548998527768,5.53469724088003,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
X15.39,-3.98565692006704,5.44660556675959,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
X21.39,-3.93822719907665,5.41820240610043,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
X28.39,-4.25075438311806,5.47132004924656,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
X36.39,-4.23764933820853,5.47286195231285,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
X41.39,-4.46138581066264,5.44257756406685,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
X43.39,-3.9606192786859,5.36089382511553,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
X47.39,-4.5205458445884,5.52237344257274,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
X6.41,-1.04219621172598,-6.66894233748893,Macrophage_Spp1 high(Placenta)
X15.41,-0.991834951330619,-6.83955307929618,Macrophage_Spp1 high(Placenta)
X29.41,-1.01733429954925,-6.71843272958809,Macrophage_Spp1 high(Placenta)
X7.52,-0.772983362248875,-6.75303001997111,Monocyte_F13a1 high(Peripheral_Blood)
X0.3,1.96570416845871,6.19994851981134,Stromal cell_Hsd11b2 high(Uterus)
X39.55,1.9648776467887,6.15481015758556,Monocyte_Elane high(Peripheral_Blood)
X0,3.46849092279371,-6.09684521253551,neuron_human
X46.55,3.51116259935902,-6.09809599412629,Monocyte_Elane high(Peripheral_Blood)
X0.68,-5.51387815927843,5.94744153345035,Cumulus cell_Car14 high(Ovary)
X5.56,-5.48606646308082,6.02061524164552,Endothelial cell_Fabp4 high(Pancreas)
X0.50,-5.45569905731166,5.81478234243038,B cell_Ly6d high(Peripheral_Blood)
X12.56,-5.44659403152595,5.88356623304853,Endothelial cell_Fabp4 high(Pancreas)
X0.92,-5.42478852957876,5.81115689110356,Endothelial cell_Igfbp5 high(Neonatal-Heart)
X13.56,-5.51838308507307,6.0831610002053,Endothelial cell_Fabp4 high(Pancreas)
X14.56,-5.49127479442969,5.64137086995679,Endothelial cell_Fabp4 high(Pancreas)
X0.75,-5.56039533066978,5.50281680281636,Osteoblast_Dlk1 high(Neonatal-Skin)
X15.56,-5.51759683203799,5.73894016522648,Endothelial cell_Fabp4 high(Pancreas)
X16.56,-5.44592744241003,5.93086611264217,Endothelial cell_Fabp4 high(Pancreas)
X17.56,-5.57566033057825,5.7873899709369,Endothelial cell_Fabp4 high(Pancreas)
X18.56,-5.39448110005297,5.84295935497243,Endothelial cell_Fabp4 high(Pancreas)
X19.56,-5.29550370348618,5.70128645489446,Endothelial cell_Fabp4 high(Pancreas)
X20.56,-5.35161280243649,5.89649944104538,Endothelial cell_Fabp4 high(Pancreas)
X22.56,-5.54244275977605,5.83025908798937,Endothelial cell_Fabp4 high(Pancreas)
X0.2,-0.635427739162471,7.54875693739727,Endothelial cell_Tm4sf1 high(Uterus)
X25.56,-5.30424550527283,5.64703218820352,Endothelial cell_Fabp4 high(Pancreas)
X0.27,-5.76612088779284,5.04240863543164,Epithelial cell_Krt20 high(Stomach)
X27.56,-5.46275517309233,5.83900664407988,Endothelial cell_Fabp4 high(Pancreas)
X30.56,-5.40735130040201,5.98673951981816,Endothelial cell_Fabp4 high(Pancreas)
X31.56,-5.52039118380169,5.65456930458589,Endothelial cell_Fabp4 high(Pancreas)
X34.56,-5.61343245548686,6.02124729204759,Endothelial cell_Fabp4 high(Pancreas)
X36.56,-5.47348307053698,5.99452181342813,Endothelial cell_Fabp4 high(Pancreas)
X38.56,-5.54020171288589,5.91272677176737,Endothelial cell_Fabp4 high(Pancreas)
X40.56,-5.40716391604282,5.84636596907849,Endothelial cell_Fabp4 high(Pancreas)
X46.56,-5.55745367548264,6.04525502536946,Endothelial cell_Fabp4 high(Pancreas)
X0.23,-5.92427006064952,4.90861008897223,Elongating spermatid(Testis)
