Dim1	Dim2	Dataset		
V2	0.830145381	-18.3675095	atac	Myoblast_Human
V4	0.869428656	-18.32526364	atac	Myoblast_Human
V8	1.818741105	7.028613429	atac	Myoblast_Human
V9	1.830145381	-18.3675095	atac	Myoblast_Human
V10	2.869428656	-18.32526364	atac	Myoblast_Human
V11	1.818741105	7.028613429	atac	Myoblast_Human
V12	0.830145381	-18.3675095	atac	Myoblast_Human
V14	0.869428656	-18.32526364	atac	Myoblast_Human
V18	1.818741105	7.028613429	atac	Myoblast_Human
V22	0.830145381	18.3675095	atac	Myoblast_Human
V24	0.869428656	18.32526364	atac	Myoblast_Human
V28	1.818741105	6.028613429	atac	Myoblast_Human
V29	1.799780629	7.008473258	atac	Myoblast_Human
X0.1	3.026947043	-2.171328445	rna	Stromal cell_Ccl11 high(Uterus)
X1	23.13526585	0.799520235	rna	Stromal cell_Ccl11 high(Uterus)
X2	-4.821134545	18.64320407	rna	Stromal cell_Ccl11 high(Uterus)
X3	23.16448452	0.953984837	rna	Stromal cell_Ccl11 high(Uterus)
X4	-0.169665404	-2.808351894	rna	Stromal cell_Ccl11 high(Uterus)
X5	-0.173354783	-2.869188686	rna	Stromal cell_Ccl11 high(Uterus)
X6	5.862801097	-0.194192995	rna	Stromal cell_Ccl11 high(Uterus)
X7	10.44756367	13.77169452	rna	Stromal cell_Ccl11 high(Uterus)
X8	6.808608554	15.00975643	rna	Stromal cell_Ccl11 high(Uterus)
X9	23.25445797	1.06325231	rna	Stromal cell_Ccl11 high(Uterus)
X10	10.43611195	13.78927455	rna	Stromal cell_Ccl11 high(Uterus)
X11	8.451068423	1.338158707	rna	Stromal cell_Ccl11 high(Uterus)
X12	-7.318363645	17.23471485	rna	Stromal cell_Ccl11 high(Uterus)
X13	-5.616854169	18.82159267	rna	Stromal cell_Ccl11 high(Uterus)
X14	23.42578366	1.049483995	rna	Stromal cell_Ccl11 high(Uterus)
X15	11.22244599	13.12542758	rna	Stromal cell_Ccl11 high(Uterus)
X16	-2.343432047	17.75539813	rna	Stromal cell_Ccl11 high(Uterus)
X17	7.888129733	0.783079247	rna	Stromal cell_Ccl11 high(Uterus)
X18	6.263557456	-0.25485297	rna	Stromal cell_Ccl11 high(Uterus)
X19	23.14424755	1.003985862	rna	Stromal cell_Ccl11 high(Uterus)
X20	7.815957568	0.723229389	rna	Stromal cell_Ccl11 high(Uterus)
X21	8.971686862	2.256146054	rna	Stromal cell_Ccl11 high(Uterus)
