0	4
1	4
2	4
3	4
4	3
5	4
6	3
7	4
8	2
9	4
10	3
11	4
12	4
13	4
14	3
15	1
16	3
17	4
18	4
19	4
20	2
21	4
22	3
23	4
24	3
25	4
26	3
27	4
28	2
29	4
30	4
31	4
32	3
33	4
34	2
35	4
36	3
37	4
38	2
39	1
40	4
41	3
42	3
43	4
44	3
45	4
46	3
47	4
48	4
49	4
50	3
51	4
52	2
53	4
54	3
55	4
56	4
57	4
58	2
59	4
60	4
61	4
62	4
63	3
64	2
65	4
66	3
67	4
68	4
69	4
70	3
71	4
72	4
73	4
74	1
75	4
76	4
77	2
78	2
79	4
80	4
81	4
82	4
83	4
84	4
85	4
86	4
87	4
88	2
89	4
90	4
91	4
92	4
93	1
94	4
95	3
96	4
97	3
98	3
99	4
100	4
101	3
102	4
103	4
104	4
105	4
106	2
107	3
108	4
109	4
110	2
111	4
112	4
113	3
114	4
115	4
116	2
117	3
118	2
119	4
120	4
121	3
122	4
123	4
124	4
125	4
126	4
127	4
128	4
129	2
130	4
131	4
132	4
133	4
134	3
135	4
136	4
137	4
138	4
139	3
140	4
141	4
142	4
143	4
144	4
145	2
146	3
147	4
148	3
149	4
150	3
151	4
152	3
153	4
154	3
155	4
156	4
157	3
158	4
159	4
160	4
161	4
162	3
163	4
164	4
165	3
166	4
167	3
168	3
169	4
170	4
171	2
172	3
173	4
174	4
175	4
176	3
177	4
178	4
179	4
180	4
181	4
182	3
183	4
184	2
185	4
186	3
187	3
188	3
189	3
