	0	1	X
0	60.474464	0.19269225	Stromal cell_Ccl11 high(Uterus)
1	60.627876	0.11087207	Stromal cell_Ccl11 high(Uterus)
2	54.729202	-5.031279	Stromal cell_Ccl11 high(Uterus)
3	56.17492	-1.0900035	Stromal cell_Ccl11 high(Uterus)
4	52.966564	-2.3547335	Stromal cell_Ccl11 high(Uterus)
5	57.322983	-0.63352555	Stromal cell_Ccl11 high(Uterus)
6	52.768044	-2.8511462	Stromal cell_Ccl11 high(Uterus)
7	57.849873	-0.22077774	Stromal cell_Ccl11 high(Uterus)
8	53.258175	-3.9061859	Stromal cell_Ccl11 high(Uterus)
9	60.20737	-0.23171815	Stromal cell_Ccl11 high(Uterus)
10	58.64964	-2.7090425	Stromal cell_Ccl11 high(Uterus)
11	56.240593	1.405804	Stromal cell_Ccl11 high(Uterus)
12	59.95217	-0.2567772	Stromal cell_Ccl11 high(Uterus)
13	56.92633	-1.7454162	Stromal cell_Ccl11 high(Uterus)
14	59.87861	-0.13393833	Stromal cell_Ccl11 high(Uterus)
15	58.13947	-2.505925	Stromal cell_Ccl11 high(Uterus)
16	59.10145	-1.2308291	Stromal cell_Ccl11 high(Uterus)
17	55.842564	0.8769198	Stromal cell_Ccl11 high(Uterus)
18	56.883965	0.3226038	Stromal cell_Ccl11 high(Uterus)
19	60.279217	-0.015443929	Stromal cell_Ccl11 high(Uterus)
20	58.851658	0.6917132	Stromal cell_Ccl11 high(Uterus)
21	59.81662	-1.366754	Stromal cell_Ccl11 high(Uterus)
22	56.809456	-2.486553	Stromal cell_Ccl11 high(Uterus)
23	60.098312	-0.030526603	Stromal cell_Ccl11 high(Uterus)
24	56.500217	-2.804252	Stromal cell_Ccl11 high(Uterus)
25	59.417835	-0.08024313	Stromal cell_Ccl11 high(Uterus)
26	53.145542	-2.5436275	Stromal cell_Ccl11 high(Uterus)
27	54.0428	-1.8110373	Stromal cell_Ccl11 high(Uterus)
28	58.393456	-1.2555436	Stromal cell_Ccl11 high(Uterus)
29	53.834526	-4.985997	Stromal cell_Ccl11 high(Uterus)
30	58.83408	-2.3575842	Stromal cell_Ccl11 high(Uterus)
31	56.706707	0.10776413	Stromal cell_Ccl11 high(Uterus)
32	57.341965	-1.0810536	Stromal cell_Ccl11 high(Uterus)
33	57.50987	-1.8481001	Stromal cell_Ccl11 high(Uterus)
34	58.400536	0.41223878	Stromal cell_Ccl11 high(Uterus)
35	58.586407	-0.6915714	Stromal cell_Ccl11 high(Uterus)
36	58.479668	-2.4321623	Stromal cell_Ccl11 high(Uterus)
37	60.40166	-0.25124124	Stromal cell_Ccl11 high(Uterus)
38	55.9716	0.7083091	Stromal cell_Ccl11 high(Uterus)
39	55.614037	0.55380225	Stromal cell_Ccl11 high(Uterus)
40	58.546364	1.4916885	Stromal cell_Ccl11 high(Uterus)
41	56.448807	1.1287719	Stromal cell_Ccl11 high(Uterus)
42	55.5755	0.8084529	Stromal cell_Ccl11 high(Uterus)
43	57.81338	-2.017703	Stromal cell_Ccl11 high(Uterus)
44	60.079388	-0.2204763	Stromal cell_Ccl11 high(Uterus)
45	52.63676	-4.3982935	Stromal cell_Ccl11 high(Uterus)
46	58.336517	-1.3829695	Stromal cell_Ccl11 high(Uterus)
47	57.777294	-1.848711	Stromal cell_Ccl11 high(Uterus)
48	60.232433	-0.09631953	Stromal cell_Ccl11 high(Uterus)
49	54.791573	-0.5614779	Stromal cell_Ccl11 high(Uterus)
50	44.88422	15.835178	Endothelial cell_Tm4sf1 high(Uterus)
51	42.82542	17.96792	Endothelial cell_Tm4sf1 high(Uterus)
52	37.42804	-18.313053	Endothelial cell_Tm4sf1 high(Uterus)
53	43.656822	17.031906	Endothelial cell_Tm4sf1 high(Uterus)
54	42.110897	17.612648	Endothelial cell_Tm4sf1 high(Uterus)
55	42.72752	18.83721	Endothelial cell_Tm4sf1 high(Uterus)
56	43.028282	17.767187	Endothelial cell_Tm4sf1 high(Uterus)
57	43.97775	18.314367	Endothelial cell_Tm4sf1 high(Uterus)
58	44.12461	15.796152	Endothelial cell_Tm4sf1 high(Uterus)
59	44.421906	17.08982	Endothelial cell_Tm4sf1 high(Uterus)
60	42.737106	17.919174	Endothelial cell_Tm4sf1 high(Uterus)
61	40.713947	8.053424	Endothelial cell_Tm4sf1 high(Uterus)
62	44.34461	15.9225	Endothelial cell_Tm4sf1 high(Uterus)
63	44.324062	16.567762	Endothelial cell_Tm4sf1 high(Uterus)
64	43.552086	18.499357	Endothelial cell_Tm4sf1 high(Uterus)
65	44.485035	16.525846	Endothelial cell_Tm4sf1 high(Uterus)
66	43.36438	16.668198	Endothelial cell_Tm4sf1 high(Uterus)
67	45.254776	15.957478	Endothelial cell_Tm4sf1 high(Uterus)
68	44.735004	17.185768	Endothelial cell_Tm4sf1 high(Uterus)
69	42.612698	16.078999	Endothelial cell_Tm4sf1 high(Uterus)
70	45.1987	15.674974	Endothelial cell_Tm4sf1 high(Uterus)
71	42.346977	15.676603	Endothelial cell_Tm4sf1 high(Uterus)
72	39.769997	17.750078	Endothelial cell_Tm4sf1 high(Uterus)
73	44.711117	17.194445	Endothelial cell_Tm4sf1 high(Uterus)
74	44.633022	17.677603	Endothelial cell_Tm4sf1 high(Uterus)
75	39.87082	17.69972	Endothelial cell_Tm4sf1 high(Uterus)
76	45.119827	16.974009	Endothelial cell_Tm4sf1 high(Uterus)
77	45.06801	16.121815	Endothelial cell_Tm4sf1 high(Uterus)
78	44.248714	16.713026	Endothelial cell_Tm4sf1 high(Uterus)
79	42.82875	16.582544	Endothelial cell_Tm4sf1 high(Uterus)
80	39.35388	15.672239	Endothelial cell_Tm4sf1 high(Uterus)
81	45.495094	17.027452	Endothelial cell_Tm4sf1 high(Uterus)
82	54.324265	16.948366	Endothelial cell_Tm4sf1 high(Uterus)
83	42.935787	17.474092	Endothelial cell_Tm4sf1 high(Uterus)
84	43.636658	17.386646	Endothelial cell_Tm4sf1 high(Uterus)
85	43.35417	17.751259	Endothelial cell_Tm4sf1 high(Uterus)
86	39.898434	17.677624	Endothelial cell_Tm4sf1 high(Uterus)
87	43.62461	17.78398	Endothelial cell_Tm4sf1 high(Uterus)
88	39.825016	17.63036	Endothelial cell_Tm4sf1 high(Uterus)
89	44.833744	17.269749	Endothelial cell_Tm4sf1 high(Uterus)
90	44.504585	17.059046	Endothelial cell_Tm4sf1 high(Uterus)
91	44.61241	16.51299	Endothelial cell_Tm4sf1 high(Uterus)
92	43.632885	16.378899	Endothelial cell_Tm4sf1 high(Uterus)
93	44.420708	17.583015	Endothelial cell_Tm4sf1 high(Uterus)
94	43.91377	15.989513	Endothelial cell_Tm4sf1 high(Uterus)
95	45.08479	16.10239	Endothelial cell_Tm4sf1 high(Uterus)
96	42.968773	15.847336	Endothelial cell_Tm4sf1 high(Uterus)
97	42.458954	17.73957	Endothelial cell_Tm4sf1 high(Uterus)
98	42.576065	15.635749	Endothelial cell_Tm4sf1 high(Uterus)
99	42.9007	18.072927	Endothelial cell_Tm4sf1 high(Uterus)
100	55.116966	0.82023925	Stromal cell_Hsd11b2 high(Uterus)
101	53.8056	-3.1985035	Stromal cell_Hsd11b2 high(Uterus)
102	53.036552	-5.0763993	Stromal cell_Hsd11b2 high(Uterus)
103	53.022263	-4.4749084	Stromal cell_Hsd11b2 high(Uterus)
104	56.91702	-1.4319228	Stromal cell_Hsd11b2 high(Uterus)
105	56.711662	0.2562981	Stromal cell_Hsd11b2 high(Uterus)
106	57.27505	0.74570143	Stromal cell_Hsd11b2 high(Uterus)
107	55.02484	-0.70670736	Stromal cell_Hsd11b2 high(Uterus)
108	57.03165	-0.98401725	Stromal cell_Hsd11b2 high(Uterus)
109	57.072784	1.2683876	Stromal cell_Hsd11b2 high(Uterus)
110	54.895496	-0.106781974	Stromal cell_Hsd11b2 high(Uterus)
111	56.447742	-0.22047156	Stromal cell_Hsd11b2 high(Uterus)
112	57.07519	0.30503637	Stromal cell_Hsd11b2 high(Uterus)
113	57.658314	-2.125767	Stromal cell_Hsd11b2 high(Uterus)
114	53.28613	-1.7658054	Stromal cell_Hsd11b2 high(Uterus)
115	51.68533	-3.499391	Stromal cell_Hsd11b2 high(Uterus)
116	56.072815	0.33237556	Stromal cell_Hsd11b2 high(Uterus)
117	55.055756	-3.2803433	Stromal cell_Hsd11b2 high(Uterus)
118	57.627728	-2.9473784	Stromal cell_Hsd11b2 high(Uterus)
119	56.193626	-0.42987198	Stromal cell_Hsd11b2 high(Uterus)
120	53.08553	-1.9497244	Stromal cell_Hsd11b2 high(Uterus)
121	53.709747	-3.488056	Stromal cell_Hsd11b2 high(Uterus)
122	56.86071	-2.5932937	Stromal cell_Hsd11b2 high(Uterus)
123	53.25473	-2.8147314	Stromal cell_Hsd11b2 high(Uterus)
124	58.966824	0.83010197	Stromal cell_Hsd11b2 high(Uterus)
125	55.817818	-1.0011945	Stromal cell_Hsd11b2 high(Uterus)
126	57.890907	0.30112958	Stromal cell_Hsd11b2 high(Uterus)
127	52.47981	-4.576772	Stromal cell_Hsd11b2 high(Uterus)
128	57.34424	-0.75452876	Stromal cell_Hsd11b2 high(Uterus)
129	54.254826	-0.025364347	Stromal cell_Hsd11b2 high(Uterus)
