a,TSNE_1,TSNE_2,X
X0.3,-3.04922436435006,5.25331593860771,Stromal cell_Hsd11b2 high(Uterus)
X37.13,-2.99063645647362,5.28639034786225,Proliferating thymocyte(Thymus)
X0.5,-2.88963658382278,5.32887288583438,Glandular epithelium_Sprr2f high(Uterus)
X0.8,-3.05978020463519,5.24261570014529,Muscle cell_Mgp high(Uterus)
X42.15,-2.95402807535746,5.22709735870249,DPT cell(Thymus)
X0.9,-6.89155163091981,7.97408645085798,Stromal cell_Cxcl14 high(Uterus)
X3.16,-6.78924766816136,7.93204563757431,Spermatocyte_1700001F09Rik high(Testis)
X0.7,-8.01501887543214,8.85837843939059,NK cell(Uterus)
X4.16,-7.93677013939472,8.70187910804852,Spermatocyte_1700001F09Rik high(Testis)
X0.2,-7.45572378777255,8.30521919213604,Endothelial cell_Tm4sf1 high(Uterus)
X5.16,-7.28640579292856,8.22551539399408,Spermatocyte_1700001F09Rik high(Testis)
X8.16,-7.90824320714744,8.83966932923664,Spermatocyte_1700001F09Rik high(Testis)
X11.16,-7.34266216605817,8.19659188112389,Spermatocyte_1700001F09Rik high(Testis)
X14.16,-7.40657863973331,8.39994971674409,Spermatocyte_1700001F09Rik high(Testis)
X0.1,-5.00363309408953,6.92682450183768,Stromal cell_Ccl11 high(Uterus)
X20.16,-5.29391484807551,7.13287629158169,Spermatocyte_1700001F09Rik high(Testis)
X29.16,-7.89658820056737,8.84546310007347,Spermatocyte_1700001F09Rik high(Testis)
X34.16,-7.06690544062967,7.96026431490697,Spermatocyte_1700001F09Rik high(Testis)
X37.16,-5.60945470580513,7.36404565050285,Spermatocyte_1700001F09Rik high(Testis)
X47.16,-6.88493739189289,8.12659750324836,Spermatocyte_1700001F09Rik high(Testis)
X49.16,-7.4202256340269,8.33610221525484,Spermatocyte_1700001F09Rik high(Testis)
X24.17,-6.77034343735546,7.88662132789138,Spermatocyte_Calm2 high(Testis)
X47.17,-4.99625357609202,7.27701175684565,Spermatocyte_Calm2 high(Testis)
X0.19,-8.05230275515596,8.82601956781916,Spermatocyte_Slc2a3 high(Testis)
X1.18,-8.08668161352555,8.91251831937183,Spermatocyte_Slc2a3 high(Testis)
X4.18,-8.05040659318643,8.86789686604658,Spermatocyte_Slc2a3 high(Testis)
X5.18,-8.02046749196287,8.91637805093944,Spermatocyte_Slc2a3 high(Testis)
X17.18,-7.96997169919603,8.90242900836402,Spermatocyte_Slc2a3 high(Testis)
X21.18,-7.75891423882426,8.5936725453919,Spermatocyte_Slc2a3 high(Testis)
X26.18,-8.08229199724973,8.87022401799846,Spermatocyte_Slc2a3 high(Testis)
X27.18,-8.05704307548932,8.93604297168274,Spermatocyte_Slc2a3 high(Testis)
X30.18,-8.03611243973204,8.7972804296836,Spermatocyte_Slc2a3 high(Testis)
X32.18,-8.040157750608,8.89157185868921,Spermatocyte_Slc2a3 high(Testis)
X33.18,-7.54538783906986,8.34882858944413,Spermatocyte_Slc2a3 high(Testis)
X37.18,-8.02737983403819,8.82654238491129,Spermatocyte_Slc2a3 high(Testis)
X38.18,-7.53360092385033,8.32001495329975,Spermatocyte_Slc2a3 high(Testis)
X39.18,-7.48909765146575,8.39213434135525,Spermatocyte_Slc2a3 high(Testis)
X42.18,-8.10458833584739,8.83852495550346,Spermatocyte_Slc2a3 high(Testis)
X43.18,-7.5114365175158,8.3759615763266,Spermatocyte_Slc2a3 high(Testis)
X46.18,-7.55187311096705,8.37731972664043,Spermatocyte_Slc2a3 high(Testis)
X19.19,-5.15062381058856,7.03330871726094,Spermatids_Tnp1 high(Testis)
X44.19,-5.37080031027584,7.18577124283635,Spermatids_Tnp1 high(Testis)
X0.6,-5.96113422198093,8.44547255484213,Macrophage(Uterus)
X3.20,-6.03453575207939,8.51517199697065,Spermatocyte_Mesp1 high(Testis)
X11.20,-6.04527942304675,8.48811926014635,Spermatocyte_Mesp1 high(Testis)
X18.20,-7.45781328137406,8.23040605044557,Spermatocyte_Mesp1 high(Testis)
X27.20,-6.92702130795964,8.01846277246671,Spermatocyte_Mesp1 high(Testis)
X38.20,-6.02345948932291,8.56021901235805,Spermatocyte_Mesp1 high(Testis)
X39.20,-5.99631220086173,8.54258991996972,Spermatocyte_Mesp1 high(Testis)
X2.21,-7.42580919080258,8.21230725250774,Spermatids_Cst13 high(Testis)
X7.21,-6.98358495320477,7.95410081641644,Spermatids_Cst13 high(Testis)
X9.21,-6.79950930351845,7.91342448286235,Spermatids_Cst13 high(Testis)
X19.21,-6.62146351627854,7.87258628719096,Spermatids_Cst13 high(Testis)
X29.21,-6.16319336089983,8.26699172371599,Spermatids_Cst13 high(Testis)
X38.21,-7.5026178312952,8.19572763872758,Spermatids_Cst13 high(Testis)
X41.21,-5.99850059821625,8.44864307939011,Spermatids_Cst13 high(Testis)
X5.22,-5.83109196582148,8.45770028139478,Elongating spermatid(Testis)
X14.22,-5.98053224214367,8.40069630155165,Elongating spermatid(Testis)
X22.22,-5.95537710691202,8.47485847301788,Elongating spermatid(Testis)
