a,TSNE_1,TSNE_2,X
X0.15,-0.113314578347043,-8.61566575231634,T cell_Ms4a4b high(Thymus)
X23,-0.198522203444155,-8.63261013310079,Stromal cell_Ccl11 high(Uterus)
X0.35,-0.177468848719122,-8.43849457600674,Epithelium of small intestinal villi_Fabp1 high(Small-Intestine)
X0.10,1.13276256781812,-5.9343076111331,TS_Mrpl12_high(Trophoblast-Stem-Cell)
X7.1,1.36445070485553,-5.71796990183286,Endothelial cell_Tm4sf1 high(Uterus)
X0.19,-0.0515088716870643,-8.22817210920078,Spermatocyte_Slc2a3 high(Testis)
X21.3,0.154155950997244,-8.28439557767327,Stromal cell_Has1 high(Uterus)
X0.37,0.0271344980946445,-7.97823574230804,T cell_Ccl5 high(Small-Intestine)
X0.38,0.0142889048122803,-8.29014976293057,T cell_Cd7 high(Small-Intestine)
X0.40,0.334822920886743,-8.27740262198996,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
X0.58,0.073354697211843,-8.77471567757285, cell(Pancreas)
X0.62,0.00545238826930514,-8.56835464987493,Stromal cell_Fn1 high(Pancreas)
X0.43,-5.80723400484413,2.92288470602019,Stromal cell(Placenta)
X12.4,-5.86556586726466,2.83488098671147,Glandular epithelium_Sprr2f high(Uterus)
X24.4,-5.91831103106452,2.72844858328942,Glandular epithelium_Sprr2f high(Uterus)
X35.4,-5.87788458677614,2.83037226651621,Glandular epithelium_Sprr2f high(Uterus)
X0.41,9.24413402336415,-4.28688565204149,Prostate gland cell(Prostate)
X20.30,9.31850805522399,-4.74727314522534,Stomach cell_Mt2 high(Stomach)
X14.56,1.1723187469715,-6.00880404956948,Endothelial cell_Fabp4 high(Pancreas)
X0.66,1.48955775654281,-7.65545168662753,Cumulus cell_Nupr1 high(Ovary)
X22.56,1.54887142242686,-7.05549475038737,Endothelial cell_Fabp4 high(Pancreas)
X0.20,1.58051387391284,-7.69918970145131,Spermatids_Tnp1 high(Testis)
X25.56,1.27051455634157,-7.7963847787215,Endothelial cell_Fabp4 high(Pancreas)
X0.50,1.59085621842701,-7.90300952816115,B cell_Ly6d high(Peripheral_Blood)
X0.52,0.27477469187182,-8.05317132290776,T cell_Trbc2 high(Peripheral_Blood)
X0.75,1.3625618400258,-7.86753970544059,Osteoblast_Dlk1 high(Neonatal-Skin)
X40.56,0.994391013178162,-7.24385435370044,Endothelial cell_Fabp4 high(Pancreas)
X1.57,1.39552255551124,-7.92273040168159, cell(Pancreas)
X0.27,1.77579454155659,-7.82110719295526,Epithelial cell_Krt20 high(Stomach)
X0.61,1.62755786965957,-7.91624102723422,Macrophage(Pancreas)
X5.57,1.55805778345331,-7.79579453181797, cell(Pancreas)
X7.57,1.65157585334443,-7.99891458949338, cell(Pancreas)
X9.57,1.64521051043435,-7.64232876984111, cell(Pancreas)
X10.57,1.6595814538903,-8.00436095321219, cell(Pancreas)
X11.57,1.65217911726799,-7.81733574777561, cell(Pancreas)
X12.57,1.419356958299,-7.98142850792149, cell(Pancreas)
X0.85,3.90952065995097,-8.93080016243176,Cartilage cell_Clu high(Neonatal-Rib)
X20.57,1.78284722409082,-7.6829028069101, cell(Pancreas)
X23.57,1.6634679921316,-7.71208627699654, cell(Pancreas)
X25.57,1.50474745720868,-7.58311123965181, cell(Pancreas)
X26.57,1.64731437740565,-7.79218343385195, cell(Pancreas)
