,a,TSNE_1,TSNE_2,X     
1,V236,-10.75351916,-3.272839214,PBMC_human     
2,X23,-10.71453188,-3.199756868,Stromal cell_Ccl11 high(Uterus)   
3,V15,-10.67363618,-2.813428732,PBMC_human     
4,X21.3,-10.68712898,-2.985699859,Stromal cell_Has1 high(Uterus)   
5,V48,-10.645471,-2.855654838,PBMC_human     
6,V244,7.894032329,-3.212982353,PBMC_human     
7,X38.4,7.960897018,-3.325049687,Glandular epithelium_Sprr2f high(Uterus)   
8,V12,-11.45636717,-4.477015508,PBMC_human     
9,X29.5,-11.20768159,-4.469667893,Macrophage(Uterus)     
10,V56,-11.00922605,-4.124343925,PBMC_human     
11,V60,-11.34974191,-4.48406173,PBMC_human     
12,V85,-11.17316595,-4.402306217,PBMC_human     
13,V88,-11.37328048,-4.564783973,PBMC_human     
14,V93,-11.19461646,-4.337986481,PBMC_human     
15,V120,-11.35656117,-4.359612095,PBMC_human     
16,V142,-11.19066364,-4.603116434,PBMC_human     
17,V151,-11.40326663,-4.549625258,PBMC_human     
18,V158,-11.12332641,-4.585783289,PBMC_human     
19,V203,-11.09749722,-4.462703975,PBMC_human     
20,V234,-11.55201778,-4.610547869,PBMC_human     
21,V265,-11.39226763,-4.666693993,PBMC_human     
22,V266,-11.31154568,-4.583684985,PBMC_human     
23,V313,-11.25651444,-4.414934591,PBMC_human     
24,V141,-11.26680997,-4.901007854,PBMC_human     
25,X36.5,-11.29285589,-5.054410787,Macrophage(Uterus)     
26,V59,-8.621277823,-1.208041863,PBMC_human     
27,X14.6,-8.746032496,-1.307758695,NK cell(Uterus)    
28,V320,-8.868548728,-1.26781637,PBMC_human     
29,V49,-10.39671842,-0.421822666,PBMC_human     
30,X17.6,-8.800171939,-1.049369825,NK cell(Uterus)    
31,V170,-8.677834036,-0.842531764,PBMC_human     
32,V196,-8.651078864,-1.034100161,PBMC_human     
33,V277,-8.550188254,-1.155711209,PBMC_human     
34,V292,-8.56511067,-0.926020544,PBMC_human     
35,V317,-8.588884517,-0.981020715,PBMC_human     
36,X34.6,-8.724600773,-1.283248836,NK cell(Uterus)    
37,V261,-8.789682822,-1.362403965,PBMC_human     
38,X49.6,-8.752802868,-1.331626884,NK cell(Uterus)    
39,V180,-8.173975441,-1.047355618,PBMC_human     
40,X26.12,-8.043541546,-1.14501444,B cell(Thymus)    
41,X0.14,-8.099259674,-1.010054862,Proliferating thymocyte(Thymus)    
42,V242,-8.246130157,-0.885592522,PBMC_human     
43,V126,-8.87585262,-0.627207071,PBMC_human     
44,X3.13,-8.372865469,-0.641527135,Proliferating thymocyte(Thymus)    
45,V328,-8.151316227,-0.804525609,PBMC_human     
46,V30,-7.856509685,-1.084505798,PBMC_human     
47,X49.13,-7.765614327,-1.134650136,Proliferating thymocyte(Thymus)    
48,V35,-8.577687776,-0.822858166,PBMC_human     
49,X4.14,-8.481013521,-0.703675361,T cell_Ms4a4b high(Thymus)   
50,V251,-8.598901422,-0.524717938,PBMC_human     
51,V309,-8.5652882,-0.744606984,PBMC_human     
52,X13.14,-7.978521604,-0.940920169,T cell_Ms4a4b high(Thymus)   
53,X22.14,-7.543680909,-1.270505254,T cell_Ms4a4b high(Thymus)   
54,X23.14,-8.433948,-0.785303593,T cell_Ms4a4b high(Thymus)   
55,X34.14,-8.113547286,-0.847570085,T cell_Ms4a4b high(Thymus)   
56,X38.14,-8.426494889,-0.82018349,T cell_Ms4a4b high(Thymus)   
57,X41.14,-7.739465265,-1.129627352,T cell_Ms4a4b high(Thymus)   
58,X0.16,-8.824720374,-0.561584933,DPT cell(Thymus)    
59,X2.15,-7.929798094,-1.114353325,DPT cell(Thymus)    
60,X18.15,-8.071036824,-0.943977579,DPT cell(Thymus)    
61,X23.15,-8.482944563,-0.578859606,DPT cell(Thymus)    
62,X38.15,-7.962673315,-0.814160701,DPT cell(Thymus)    
63,X42.15,-8.009820217,-1.058250268,DPT cell(Thymus)    
64,X43.15,-8.729832794,-0.717730539,DPT cell(Thymus)    
65,V44,-10.05208137,-0.193736489,PBMC_human     
66,X48.15,-8.368594665,-0.788336884,DPT cell(Thymus)    
67,X0.33,-8.335818367,-1.087158953,T cell(Spleen)    
68,V233,-8.497050497,-1.133213951,PBMC_human     
69,X36.32,-7.925286558,-1.129565989,T cell(Spleen)    
70,V212,-7.458633812,-4.013033064,PBMC_human     
71,X2.33,-7.362698818,-4.20617089,Marginal zone B cell(Spleen)  
72,V264,-7.596811636,-4.205980239,PBMC_human     
73,V270,-7.407447619,-4.081207514,PBMC_human     
74,V293,-7.345765199,-4.104012329,PBMC_human     
75,V329,-7.358110315,-4.14713999,PBMC_human     
76,V102,-7.644589278,-4.156889127,PBMC_human     
77,X3.33,-7.589557616,-4.076152014,Marginal zone B cell(Spleen)  
78,V115,-7.696551523,-4.064375059,PBMC_human     
79,V193,-7.49443103,-3.920857015,PBMC_human     
80,V207,-7.755834827,-4.071620433,PBMC_human     
81,V232,-7.827587762,-4.033834924,PBMC_human     
82,V271,-7.570213011,-3.863322257,PBMC_human     
83,X5.33,-7.546875938,-3.772860866,Marginal zone B cell(Spleen)  
84,X8.33,-7.39817569,-3.969527411,Marginal zone B cell(Spleen)  
85,X9.33,-7.47528571,-3.993703599,Marginal zone B cell(Spleen)  
86,X14.33,-7.291530084,-4.191674128,Marginal zone B cell(Spleen)  
87,X15.33,-7.215433598,-4.18052885,Marginal zone B cell(Spleen)  
88,X20.33,-7.44613517,-4.006364798,Marginal zone B cell(Spleen)  
89,X25.33,-7.290082614,-4.136535348,Marginal zone B cell(Spleen)  
90,X27.33,-7.52158645,-3.832005517,Marginal zone B cell(Spleen)  
91,X29.33,-7.471659912,-3.924725724,Marginal zone B cell(Spleen)  
92,V128,-13.25844598,5.73894757,PBMC_human     
93,X12.34,-13.2854191,5.630724397,Epithelium of small intestinal villi_Fabp1 high(Small-Intestine)
94,X3.36,-8.68916617,-0.755570901,T cell_Ccl5 high(Small-Intestine)   
95,X8.36,-8.179540399,-0.656585531,T cell_Ccl5 high(Small-Intestine)   
96,X12.36,-8.491999622,-0.843406739,T cell_Ccl5 high(Small-Intestine)   
97,X40.36,-8.768928332,-0.871084755,T cell_Ccl5 high(Small-Intestine)   
98,V157,-10.29941847,-1.154971186,PBMC_human     
99,X1.37,-8.652789319,-0.770927399,T cell_Cd7 high(Small-Intestine)   
100,X9.37,-8.78447286,-0.893164985,T cell_Cd7 high(Small-Intestine)   
101,X18.37,-8.656627655,-0.992611458,T cell_Cd7 high(Small-Intestine)   
102,V150,-9.002647562,0.605411616,PBMC_human     
103,X21.37,-8.923483151,0.659545734,T cell_Cd7 high(Small-Intestine)   
104,X27.37,-8.743992635,-1.078393747,T cell_Cd7 high(Small-Intestine)   
105,X30.37,-8.694235787,-0.914238312,T cell_Cd7 high(Small-Intestine)   
106,X32.37,-8.478164347,-0.975597455,T cell_Cd7 high(Small-Intestine)   
107,X36.37,-8.520865028,-0.631622898,T cell_Cd7 high(Small-Intestine)   
108,X37.37,-8.490922725,-0.968536642,T cell_Cd7 high(Small-Intestine)   
109,X43.37,-8.748748691,-0.59194607,T cell_Cd7 high(Small-Intestine)   
110,X0.40,-13.27227991,5.763259612,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
111,X13.39,-13.31659225,5.73839422,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
112,X15.39,-13.26873444,5.768778606,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
113,X28.39,-13.24386245,5.781412502,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
114,X31.39,-13.21357691,5.723157712,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
115,X34.39,-13.28893691,5.739593955,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
116,X36.39,-13.29881717,5.729300158,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
117,X41.39,-13.11654054,5.682861199,Epithelium of small intestinal villi_Fabp6 high(Small-Intestine)
