a,TSNE_1,TSNE_2,X
X0.4,-6.1644497631889,-4.01566646480826,Stromal cell_Has1 high(Uterus)
X15.1,-5.95948862887713,-4.02431066641896,Endothelial cell_Tm4sf1 high(Uterus)
X0.41,-6.00815870304337,-4.21752601567269,Prostate gland cell(Prostate)
X0.25,-3.44966712698843,-7.49584025473798,Dividing cell(Stomach)
X36.5,-3.47656095522439,-7.52778318217332,Macrophage(Uterus)
X0.90,4.80427833944274,-0.667470669680253,Stromal cell_Ndn high(Neonatal-Muscle)
X40.12,5.79849393517004,-2.04707249768124,B cell(Thymus)
X0.52,6.69136255193417,-1.30114743901252,T cell_Trbc2 high(Peripheral_Blood)
X1.50,6.71808966144422,-1.19461252729662,B cell_Vpreb3 high(Peripheral_Blood)
X16.50,6.62403954154527,-1.19685064585659,B cell_Vpreb3 high(Peripheral_Blood)
X14.56,-5.92068833684539,-4.08440246643811,Endothelial cell_Fabp4 high(Pancreas)
X0.35,-5.91957930239859,-4.03010205010789,Epithelium of small intestinal villi_Fabp1 high(Small-Intestine)
X0.36,-5.91808538218245,-3.9056609770785,Epithelial cell_Kcne3 high(Small-Intestine)
X0.47,-6.07948603500628,-3.89383778054954,PE lineage cell_S100g high(Placenta)
X0.50,-6.09944666850508,-4.33765079479554,B cell_Ly6d high(Peripheral_Blood)
X0.61,-6.06598749020255,-3.99368531077187,Macrophage(Pancreas)
X0.94,-5.84792894048247,-4.39819619704215,Left ventricle cardiomyocyte_Myl2 high(Neonatal-Heart)
X15.56,-5.89339224316276,-4.08529407788267,Endothelial cell_Fabp4 high(Pancreas)
X0.9,-5.91502343691997,-4.30095019393557,Stromal cell_Cxcl14 high(Uterus)
X0.59,-5.82483533586244,-3.95253224608036,Stromal cell_Smoc2 high(Pancreas)
X0.69,-6.37723414951519,-4.12307645979065,Ovarian vascular surface endothelium cell(Ovary)
X16.56,-5.87170907260033,-3.81798329750705,Endothelial cell_Fabp4 high(Pancreas)
X17.56,-5.8468383620217,-4.08048189230956,Endothelial cell_Fabp4 high(Pancreas)
X19.56,-6.06072077324693,-4.03494400854118,Endothelial cell_Fabp4 high(Pancreas)
X0.37,-6.63473336696306,-2.99308184769568,T cell_Ccl5 high(Small-Intestine)
X0.89,-6.28701132782045,-4.44494346416297,Mesenchymal cell(Neonatal-Muscle)
X22.56,-5.96621226205376,-4.01670536968965,Endothelial cell_Fabp4 high(Pancreas)
X25.56,-6.14781021924067,-3.87050727657051,Endothelial cell_Fabp4 high(Pancreas)
X0.27,-6.64806575355761,-2.67662709628419,Epithelial cell_Krt20 high(Stomach)
X0.80,-6.55499443610081,-4.27514903494761,Stromal cell_Acta1 high(Neonatal-Rib)
X37.56,-5.94090600109628,-3.75239721469444,Endothelial cell_Fabp4 high(Pancreas)
X38.56,-5.81745830926316,-3.8369354278493,Endothelial cell_Fabp4 high(Pancreas)
X40.56,-5.9138788342619,-4.11661608027507,Endothelial cell_Fabp4 high(Pancreas)
X42.56,-5.94275372968453,-3.92782464461369,Endothelial cell_Fabp4 high(Pancreas)
